#,Name,Team,ESPN,Y!,$,G,GS,QS,TBF,IP,W,L,SV,HLD,H,ER,K,BB,HBP,HR,ERA,SIERA,WHIP,GB%,LD%,FB%,BABIP,Own%,RazzID
348,Angel Zerpa,MIL,RP,RP,-10.6,40,0,0,153,36.2,2,2,0,8,34,14,35,14,2,3,3.56,3.80,1.33,51,20,29,0.302,0,672582
349,Juan Mejia,COL,RP,RP,-10.6,51,0,0,197,45.7,2,2,0,8,44,20,44,22,3,5,3.94,4.82,1.44,42,21,36,0.320,0,675848
350,Brandon Eisert,CHW,RP,RP,-10.6,47,0,0,201,46.8,2,2,0,0,46,21,42,19,2,6,3.95,4.34,1.40,45,21,34,0.303,0,685126
351,Gordon Graceffo,STL,RP,RP,-10.6,51,0,0,221,51.2,2,3,0,5,52,24,40,18,2,6,4.20,4.18,1.35,45,21,34,0.298,0,700669
352,Ryan Brasier,TEX,RP,RP,-10.7,38,0,0,158,37.5,2,2,0,6,36,17,34,12,1,5,4.02,3.95,1.28,42,20,38,0.286,0,5615
353,Brent Suter,LAA,RP,RP,-10.7,51,0,0,219,50.8,2,3,0,10,52,23,42,18,2,7,4.08,4.40,1.37,44,21,35,0.297,0,13942
354,Sam Moll,CIN,RP,RP,-10.7,45,0,0,174,40.3,2,2,0,3,37,17,39,20,2,5,3.84,4.32,1.40,46,20,34,0.292,0,14874
355,Caleb Ferguson,CIN,RP,RP,-10.7,41,0,0,157,36.6,2,2,0,8,34,15,36,16,2,4,3.73,4.11,1.36,47,20,33,0.297,0,657571
356,Richard Lovelady,WSH,RP,RP,-10.7,45,0,0,192,44.5,2,2,0,18,43,20,39,18,2,5,3.93,4.19,1.38,47,20,32,0.301,0,663992
357,Colin Holderman,CLE,RP,RP,-10.7,38,0,0,163,38.1,2,2,0,6,35,17,37,16,2,4,3.97,4.06,1.34,44,20,36,0.290,0,670059
358,Keider Montero,DET,SP,SP,-10.7,28,15,7,438,101.2,6,6,0,1,99,51,83,37,4,15,4.53,4.47,1.34,39,20,41,0.283,37,672456
359,Jaden Hill,COL,RP,RP,-10.7,45,0,0,191,44.5,2,2,0,18,44,20,41,19,3,5,3.96,4.61,1.42,46,21,33,0.322,0,677955
360,Austin Warren,NYM,RP,RP,-10.7,38,0,0,165,38.4,2,2,0,4,36,18,35,14,2,5,4.12,4.01,1.30,41,20,39,0.282,0,681810
361,Tim Herrin,CLE,RP,RP,-10.7,45,0,0,175,40.1,2,2,0,4,36,18,41,21,2,4,3.98,4.19,1.41,44,20,37,0.291,0,682120
362,Quinn Priester,MIL,SP,SP,-10.7,20,20,9,458,105.6,6,6,0,0,108,50,85,41,5,12,4.23,4.29,1.41,52,20,28,0.300,7,682990
363,Kyle Nicolas,CIN,RP,RP,-10.7,45,0,0,195,44.8,2,2,0,7,40,21,46,25,2,6,4.16,4.58,1.45,40,20,41,0.288,0,693312
364,Jose Fermin,LAA,RP,RP,-10.7,45,0,0,195,44.5,2,2,0,6,40,21,47,24,2,6,4.31,4.53,1.42,38,21,40,0.284,0,820862
365,Burch Smith,DET,RP,RP,-10.8,29,0,0,136,32.1,2,2,0,3,29,14,31,11,1,4,3.89,3.72,1.25,41,20,39,0.284,0,572143
366,Tim Mayza,PHI,RP,RP,-10.8,45,0,0,173,40.3,2,2,0,5,39,17,35,16,2,4,3.85,4.01,1.35,50,20,30,0.294,0,641835
367,Tyler Gilbert,CHW,RP,RP,-10.8,45,0,0,194,44.8,2,2,0,0,43,21,38,18,2,6,4.21,4.37,1.36,40,21,39,0.283,0,656457
368,Matt Gage,SF,RP,RP,-10.8,45,0,0,195,44.8,2,2,0,7,43,20,39,19,2,5,4.05,4.10,1.37,44,20,36,0.292,0,657424
369,JT Brubaker,SF,RP,RP,-10.8,45,0,0,195,44.8,2,2,0,6,43,21,39,17,2,5,4.24,4.23,1.35,42,20,38,0.291,0,664141
370,Chase Silseth,LAA,RP,RP,-10.8,45,0,0,193,44.5,2,2,0,10,42,21,43,21,2,5,4.15,4.37,1.41,45,20,35,0.295,0,681217
371,Luis Garcia,MIN,RP,RP,-10.9,45,0,0,192,44.5,2,2,0,15,44,20,38,18,2,4,4.04,4.07,1.40,48,20,32,0.307,0,6984
372,Colin Rea,CHC,SP,SP,-10.9,28,15,7,420,97.3,6,5,0,1,101,49,79,31,4,14,4.49,4.45,1.35,41,20,39,0.295,37,12317
373,Tyler Ferguson,ATH,RP,RP,-10.9,45,0,0,196,44.8,2,2,0,9,41,22,43,23,2,6,4.32,4.58,1.43,39,20,41,0.283,0,621053
374,Charlie Barnes,CHC,RP,RP,-10.9,32,0,0,163,38.4,2,2,0,1,38,17,32,13,2,4,3.99,4.11,1.34,46,21,34,0.300,0,656212
375,Casey Legumina,TB,RP,RP,-10.9,45,0,0,196,45.2,2,2,0,16,44,22,41,20,2,6,4.40,4.52,1.40,40,20,40,0.290,0,668984
376,Yuki Matsui,SD,RP,RP,-10.9,36,0,0,155,35.9,2,2,0,4,32,17,36,16,1,5,4.15,4.09,1.35,37,20,43,0.276,0,673513
377,Kumar Rocker,TEX,SP,SP,-10.9,28,15,7,381,89.8,5,5,0,1,90,41,79,30,4,11,4.12,4.17,1.34,48,21,32,0.305,25,677958
378,Blade Tidwell,SF,RP,RP,-10.9,23,1,0,164,38.1,2,2,0,4,36,18,35,15,2,5,4.12,4.31,1.33,40,21,39,0.294,0,694918
379,Jordan Wicks,CHC,RP,RP,-10.9,22,1,1,135,32.1,2,2,0,2,31,13,29,10,1,4,3.73,3.84,1.28,45,20,36,0.296,0,696136
380,Rob Zastryzny,MIL,RP,RP,-11.0,36,0,0,153,35.9,2,2,0,4,34,16,33,15,2,5,4.00,4.23,1.34,41,20,39,0.283,0,15094
381,Brennan Bernardino,COL,RP,RP,-11.0,45,0,0,173,40.1,2,2,0,7,39,17,36,18,2,4,3.74,4.55,1.42,46,20,34,0.313,0,657514
382,Gregory Santos,SF,RP,RP,-11.0,45,0,0,175,40.3,2,2,0,8,38,18,36,18,2,4,3.95,3.95,1.39,50,20,31,0.299,0,666619
383,John King,MIA,RP,RP,-11.0,45,0,0,192,44.8,2,2,0,4,46,19,33,15,2,4,3.83,3.85,1.36,55,20,25,0.301,0,667463
384,DJ Herz,WSH,RP,RP,-11.0,16,1,1,102,24.2,1,1,0,1,19,10,28,11,1,3,3.60,3.71,1.25,36,20,44,0.275,0,687792
385,Josh White,MIA,RP,RP,-11.0,35,0,0,151,35.1,2,2,0,4,32,16,35,17,2,4,4.02,4.32,1.38,41,21,37,0.297,0,687985
386,Andrew Hoffmann,ARI,RP,RP,-11.0,45,0,0,195,45.2,2,2,0,5,46,21,39,18,2,5,4.21,4.50,1.41,43,21,36,0.311,0,694851
