#,Name,Team,ESPN,Y!,$,G,PA,AB,R,HR,RBI,SB,CS,H,1B,2B,3B,TB,SO,BB,HBP,AVG,OBP,SLG,OPS,Own%,RazzID
868,Phillip Glasser,WSH,OF,OF,-39.5,4,9,8,1,0,1,0,0,2,2,0,0,3,2,1,0,0.255,0.318,0.344,0.662,0,701298
869,Zach Ehrhard,LAD,OF,OF,-39.5,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.228,0.297,0.360,0.657,0,701394
870,Nick Morabito,NYM,OF,OF,-39.5,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.232,0.301,0.331,0.633,0,703492
871,Josue De Paula,LAD,OF,OF,-39.5,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.232,0.332,0.358,0.690,0,800543
872,Raudi Rodriguez,LAA,OF,OF,-39.5,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.228,0.304,0.358,0.662,0,804558
873,Ralphy Velazquez,CLE,1B,1B,-39.5,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.231,0.297,0.387,0.684,0,806252
874,Jesus Made,MIL,SS,SS,-39.5,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.233,0.302,0.340,0.642,0,815908
875,Dillon Lewis,MIA,OF,OF,-39.5,4,9,8,1,0,1,0,0,2,1,0,0,3,3,1,0,0.212,0.274,0.356,0.630,0,827665
876,Jose Rojas,NYM,OF,OF,-39.6,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.212,0.284,0.377,0.661,0,670351
877,David Hensley,FA,OF,OF,-39.6,7,15,13,2,0,1,0,0,3,2,1,0,4,5,2,0,0.196,0.294,0.298,0.593,0,682073
878,Hendry Mendez,MIN,OF,OF,-39.6,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.243,0.323,0.359,0.682,0,694230
879,Cooper Kinney,TB,2B,2B,-39.6,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.224,0.274,0.342,0.616,0,695692
880,Leo Balcazar,CIN,SS,SS,-39.6,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.236,0.298,0.338,0.636,0,699114
881,Duce Gourson,PIT,2B,2B,-39.6,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.224,0.304,0.328,0.632,0,701546
882,Carson DeMartini,PHI,SS,SS,-39.6,4,9,8,1,0,1,0,0,2,1,0,0,3,3,1,0,0.214,0.282,0.332,0.614,0,701831
883,Ben McLaughlin,ARI,1B,1B,-39.6,4,9,8,1,0,1,0,0,2,1,1,0,3,2,1,0,0.245,0.323,0.378,0.701,0,808768
884,Joseph Sullivan,HOU,OF,OF,-39.6,4,9,8,1,0,1,0,0,2,1,0,0,3,3,1,0,0.199,0.306,0.339,0.645,0,813896
885,Sean Keys,TOR,3B,3B,-39.6,4,9,8,1,0,1,0,0,2,1,0,0,3,3,1,0,0.211,0.302,0.362,0.664,0,815873
886,Wade Meckler,LAA,OF,OF,-39.7,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.248,0.333,0.352,0.685,0,685133
887,Jack Brannigan,PIT,SS,SS,-39.7,4,9,8,1,0,1,0,0,2,1,0,0,3,3,1,0,0.209,0.278,0.338,0.616,0,687394
888,Parks Harber,SF,3B,3B,-39.7,4,9,8,1,0,1,0,0,2,1,0,0,3,3,1,0,0.215,0.277,0.323,0.600,0,692238
889,Angel Genao,CLE,SS,SS,-39.7,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.240,0.305,0.338,0.643,0,694197
890,Jacob Reimer,NYM,3B,3B,-39.7,4,9,8,1,0,1,0,0,2,1,0,0,3,3,1,0,0.215,0.297,0.340,0.637,0,702544
891,Jonathan Mejia,STL,SS,SS,-39.7,11,27,25,2,0,2,0,0,4,3,1,0,6,9,2,0,0.158,0.222,0.230,0.452,0,703158
892,Michael Arroyo,SEA,2B,2B,-39.7,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.215,0.303,0.339,0.642,0,703197
893,Seaver King,WSH,SS,SS,-39.7,4,9,8,1,0,1,0,0,2,1,0,0,3,2,1,0,0.222,0.273,0.316,0.589,0,814409
894,Theo Gillen,TB,OF,OF,-39.7,4,9,8,1,0,1,0,0,2,1,0,0,2,3,1,0,0.184,0.270,0.291,0.561,0,815394
895,Lucas Spence,HOU,OF,OF,-39.7,4,9,8,1,0,1,0,0,2,1,0,0,3,3,1,0,0.213,0.296,0.331,0.627,0,828599
896,Ethan Frey,HOU,OF,OF,-39.8,4,9,8,1,0,1,0,0,2,1,0,0,2,3,1,0,0.186,0.254,0.275,0.530,0,703676
897,Josuar de Jesus Gonzalez,SF,SS,SS,-39.8,11,26,24,2,0,2,1,0,4,3,1,0,5,7,2,0,0.160,0.213,0.213,0.426,0,829034
898,Zach Daudet,HOU,1B,1B,-39.9,4,9,8,1,0,1,0,0,2,1,0,0,2,2,1,0,0.185,0.265,0.268,0.533,0,836055
899,Harold Ramirez,FA,DH,OF,-42.0,7,15,14,2,0,2,0,0,4,3,1,0,5,3,1,0,0.260,0.304,0.368,0.671,0,14387
900,Willie Calhoun,FA,DH,DH,-42.0,7,15,13,2,0,2,0,0,3,2,1,0,5,3,1,0,0.237,0.312,0.361,0.672,0,641432
901,Xavier Isaac,TB,DH,1B,-42.0,8,18,16,2,1,2,0,0,3,2,1,0,6,7,2,0,0.194,0.294,0.365,0.659,0,800060
902,Eddie Rosario,FA,DH,OF,-42.1,7,15,14,2,0,2,0,0,3,2,1,0,5,4,1,0,0.222,0.278,0.363,0.641,0,12155
903,J.D. Martinez,FA,DH,DH,-42.1,7,15,13,2,0,2,0,0,3,2,1,0,5,4,1,0,0.229,0.305,0.382,0.687,0,6184
904,Mike Ford,FA,DH,1B,-42.1,7,15,13,2,1,2,0,0,3,2,1,0,5,4,1,0,0.208,0.291,0.356,0.647,0,645801
905,Travis Blankenhorn,FA,DH,2B,-42.1,7,15,13,2,1,2,0,0,3,2,1,0,5,4,1,0,0.205,0.276,0.358,0.635,0,663905
906,Jon Singleton,FA,DH,1B,-42.3,7,15,13,2,0,2,0,0,3,2,1,0,4,4,2,0,0.200,0.301,0.342,0.643,0,572138
907,Nick Maton,FA,DH,3B,-42.3,7,15,13,2,0,2,0,0,3,2,1,0,5,4,2,0,0.211,0.307,0.344,0.651,0,665155
