#,Name,Team,ESPN,Y!,$,G,PA,AB,R,HR,RBI,SB,CS,H,1B,2B,3B,TB,SO,BB,HBP,AVG,OBP,SLG,OPS,Own%,RazzID
451,Blaine Crim,COL,1B,1B,-30.5,37,95,85,12,3,11,1,0,21,14,4,0,35,22,8,1,0.250,0.318,0.412,0.730,0,688760
452,Adael Amador,COL,2B,2B,-30.5,37,92,81,12,2,10,3,1,20,14,4,0,31,15,9,1,0.250,0.327,0.378,0.705,0,691182
453,Drew Romo,CHW,C,C,-30.6,33,81,74,9,3,9,1,0,17,11,3,0,28,20,5,1,0.228,0.282,0.379,0.661,5,691011
454,Ryan Vilade,TB,OF,OF,-30.8,51,125,112,13,2,13,2,1,26,18,5,0,39,32,11,1,0.229,0.300,0.345,0.645,0,668723
455,Greg Jones,MIL,OF,OF,-30.8,51,123,112,11,3,11,6,2,22,14,4,1,35,50,8,2,0.192,0.253,0.310,0.563,0,675659
456,Austin Slater,NYM,OF,OF,-30.9,54,131,114,15,3,12,2,0,25,17,4,0,38,40,14,1,0.215,0.304,0.330,0.634,0,596103
457,David Fry,CLE,DH,DH,-30.9,60,151,133,16,5,17,1,0,29,18,6,0,50,42,14,2,0.219,0.301,0.375,0.676,0,681807
458,Jesus Rodriguez,SF,C,C,-30.9,30,77,69,9,1,7,2,1,18,14,3,0,25,12,7,1,0.261,0.330,0.360,0.690,0,683679
459,Randal Grichuk,FA,OF,OF,-31.0,42,97,89,11,3,12,0,0,22,13,5,0,36,21,6,1,0.243,0.295,0.409,0.704,0,10243
460,Christian Koss,SF,2B,2B/SS/ 3B,-31.0,49,117,108,12,2,11,2,1,26,18,6,0,38,26,6,2,0.236,0.281,0.346,0.627,0,683766
461,Andy Ibanez,NYM,3B,1B/2B/ 3B,-31.1,49,117,106,12,2,12,2,1,25,17,5,0,37,24,8,1,0.234,0.295,0.350,0.646,0,628451
462,Charlie Condon,COL,1B,1B,-31.1,37,98,86,12,3,11,1,0,21,14,4,0,34,26,9,2,0.241,0.321,0.390,0.711,3,809707
463,Walker Jenkins,MIN,OF,OF,-31.3,39,104,91,12,2,10,2,1,21,15,5,0,32,24,11,1,0.236,0.324,0.358,0.681,0,805805
